"start","end","date","dev_id","hh_id","hh_id_m","ticks_yn","ticks_count","action_taken_ticks","water_count","_index","_id","uuid","water_rep_count","grazing_yn","grazing_count","grazing_rep_count","crops_yn","crops_count","crops_rep_count","mosquitos_yn","rodents_yn","rodents_count","rodents_rep_count","action_taken_rodents","hares_yn","hares_count","hares_rep_count","action_taken_hares","bats_yn","bats_count","bats_rep_count","action_taken_bats","sickness_human_yn","sickness_livestock_yn","firewood_yn","firewood_count","firewood_rep_count","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","ticks_rep_count","mosquitos_count","mosquitos_rep_count","action_taken_mosquitos","sickness_livestock_count","sickness_livestock_rep_count","action_taken_sickness_livestock","sickness_human_count","sickness_human_rep_count","action_taken_sickness_human"
2024-05-22 04:55:03.492,2024-05-22 17:13:35.919,2024-05-22,"collect:xrIEUbZY74xsroUV","DHH010012",,"yes",1,"no",1,11,341721687,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:bdbaebd2-f36f-4c06-a369-58abd2e1af0f","aHh7JzCQYQgFnrctbrNwGr","bdbaebd2-f36f-4c06-a369-58abd2e1af0f","submitted_via_web",2024-05-22 17:14:31,,"dtra_nk",1,1,1,"no",,,,,,
2024-05-22 06:59:17.855,2024-05-22 17:13:42.159,2024-05-22,"collect:xrIEUbZY74xsroUV","DHH010012",,"yes",1,"no",1,12,341721691,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:c12f7e83-7bca-4512-b5d7-d78cf2995824","aHh7JzCQYQgFnrctbrNwGr","c12f7e83-7bca-4512-b5d7-d78cf2995824","submitted_via_web",2024-05-22 17:14:31,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-08 08:36:04.637,2024-06-08 17:09:15.551,2024-06-08,"collect:xrIEUbZY74xsroUV","DHH010013",,"yes",1,"yes",2,13,347246101,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",2,2,"no",,,"no","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:47581db8-7577-4e26-8458-f2e7b5d8b2f9","aHh7JzCQYQgFnrctbrNwGr","47581db8-7577-4e26-8458-f2e7b5d8b2f9","submitted_via_web",2024-06-08 17:10:12,,"dtra_nk",1,,,,,,,,,
2024-06-08 10:23:24.517,2024-06-08 17:09:21.806,2024-06-08,"collect:xrIEUbZY74xsroUV","DHH010014",,"yes",1,"no",2,14,347246102,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:7351c9e5-0487-497e-aa59-a2d2cc3f7779","aHh7JzCQYQgFnrctbrNwGr","7351c9e5-0487-497e-aa59-a2d2cc3f7779","submitted_via_web",2024-06-08 17:10:13,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-09 05:59:58.593,2024-06-09 17:00:46.929,2024-06-09,"collect:xrIEUbZY74xsroUV","DHH010015",,"yes",1,"no",3,15,347459507,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",3,"yes",2,2,"no",,,"no","yes",1,1,"no","no",,,,"yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:c63b0acc-69b1-44cf-9b26-18b08270ae46","aHh7JzCQYQgFnrctbrNwGr","c63b0acc-69b1-44cf-9b26-18b08270ae46","submitted_via_web",2024-06-09 17:01:31,,"dtra_nk",1,,,,,,,,,
2024-06-09 08:18:16.311,2024-06-09 17:00:59.766,2024-06-09,"collect:xrIEUbZY74xsroUV","DHH010016",,"yes",2,"no",3,16,347459508,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",3,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:45ef9cca-bfb4-465a-a823-b76035a9f3d3","aHh7JzCQYQgFnrctbrNwGr","45ef9cca-bfb4-465a-a823-b76035a9f3d3","submitted_via_web",2024-06-09 17:01:31,,"dtra_nk",2,1,1,"no",,,,,,
2024-06-10 05:39:00.919,2024-06-10 17:55:46.432,2024-06-10,"collect:xrIEUbZY74xsroUV",,"DHH010017","yes",1,"no",2,17,347814080,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:0e603dd8-a613-4ec1-8f81-13f2b8076f00","aHh7JzCQYQgFnrctbrNwGr","0e603dd8-a613-4ec1-8f81-13f2b8076f00","submitted_via_web",2024-06-10 17:56:12,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-10 08:01:21.792,2024-06-10 17:55:53.512,2024-06-10,"collect:xrIEUbZY74xsroUV",,"DHH010018","yes",1,"no",2,18,347814082,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",1,1,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:d3af4c95-f001-485b-bbae-c48627555b6a","aHh7JzCQYQgFnrctbrNwGr","d3af4c95-f001-485b-bbae-c48627555b6a","submitted_via_web",2024-06-10 17:56:13,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-12 05:51:29.268,2024-06-12 16:55:50.136,2024-06-12,"collect:xrIEUbZY74xsroUV","DHH010019",,"yes",2,"no",1,19,348593607,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:7bba30f9-5f4c-4c46-80c1-0f05e0f8b3c9","aHh7JzCQYQgFnrctbrNwGr","7bba30f9-5f4c-4c46-80c1-0f05e0f8b3c9","submitted_via_web",2024-06-12 16:56:16,,"dtra_nk",2,1,1,"no",,,,,,
2024-06-12 09:12:22.362,2024-06-12 16:55:56.259,2024-06-12,"collect:xrIEUbZY74xsroUV","DHH010020",,"yes",1,"no",1,20,348593611,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:43d6ed4a-87ea-4371-8c03-4b6a56b3867a","aHh7JzCQYQgFnrctbrNwGr","43d6ed4a-87ea-4371-8c03-4b6a56b3867a","submitted_via_web",2024-06-12 16:56:16,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-13 05:25:47.265,2024-06-13 16:10:41.3,2024-06-13,"collect:xrIEUbZY74xsroUV",,"DHH010021","yes",1,"no",1,21,348993222,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",2,2,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:f4935939-f298-432e-8f61-3c9af14a3d1f","aHh7JzCQYQgFnrctbrNwGr","f4935939-f298-432e-8f61-3c9af14a3d1f","submitted_via_web",2024-06-13 16:11:12,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-13 07:45:03.735,2024-06-13 16:10:48.82,2024-06-13,"collect:xrIEUbZY74xsroUV",,"DHH010022","yes",1,"no",2,22,348993228,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",2,"yes",2,2,"yes",1,1,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:dd9e225b-9878-47e8-9fee-49bc0b108cc9","aHh7JzCQYQgFnrctbrNwGr","dd9e225b-9878-47e8-9fee-49bc0b108cc9","submitted_via_web",2024-06-13 16:11:12,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-14 05:05:18.493,2024-06-14 17:56:33.608,2024-06-14,"collect:xrIEUbZY74xsroUV",,"DHH010023","yes",1,"no",1,23,349395634,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"yes",1,1,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:50c0537b-07d9-4e56-bcc6-126b6239bb09","aHh7JzCQYQgFnrctbrNwGr","50c0537b-07d9-4e56-bcc6-126b6239bb09","submitted_via_web",2024-06-14 17:59:58,,"dtra_nk",1,1,1,"no",,,,,,
2024-06-14 05:47:22.607,2024-06-14 17:56:54.681,2024-06-14,"collect:xrIEUbZY74xsroUV",,"DHH010024","yes",1,"no",1,24,349395643,"9a2af8dd1c2a4fe4a2a46d3fff363bcf",1,"yes",2,2,"no",,,"yes","yes",1,1,"no","yes",1,1,"no","yes",1,1,"no","no","no","yes",1,1,"v6V5yjim5jtsS9jnFpamkL","uuid:7447609f-eece-4c56-87d1-c572b1bff219","aHh7JzCQYQgFnrctbrNwGr","7447609f-eece-4c56-87d1-c572b1bff219","submitted_via_web",2024-06-14 17:59:59,,"dtra_nk",1,1,1,"no",,,,,,
